steps,currentTime,done,speed,reward,gap,fuel,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4299,90.177,0,56.36471939086914,0.6328075882136727,0.772984323307305,29.659969329833984,100.81433868408203,51.29655075073242,8340.0703125,-8.820000648498535,0.0,1.0,5,31995,-3.813166618347168,-0.4543682038784027,56.2337532043457,-0.061058662831783295,0.013813303783535957,0.09907083958387375,-0.03389488905668259,1,4320.8963627010235,0.0,-0.03258997015473142,1.0,-1.0,-0.22636756300926208,0.6817464232444763,-0.7337294220924377,2813,0.0
4300,90.219,0,56.47563934326172,0.633578204994082,0.7813894209649846,29.659835815429688,100.66564178466797,53.563846588134766,8354.5341796875,-7.0199995040893555,0.0,1.0,5,31999,-3.572053909301758,-0.37345412373542786,56.361324310302734,-0.05664210766553879,0.014949125237762928,0.10556352883577347,-0.012410787865519524,1,4323.268514535652,0.0,-0.02594419801425829,1.0,-1.0,0.04984328895807266,0.43449220061302185,-0.4350455403327942,2815,0.0
4301,90.258,0,56.57682800292969,0.634753369197612,0.7806829827090549,29.659711837768555,100.5263442993164,55.82367706298828,8377.337890625,-2.4749999046325684,0.0,1.0,5,32003,-3.383791923522949,-0.3515566885471344,56.47445297241211,-0.05272316187620163,0.015070037916302681,0.09203992038965225,0.01945236697793007,1,4325.471104366763,0.0,-0.009138977618931676,1.0,-1.0,0.12603914737701416,0.4791143238544464,-0.06919185072183609,2816,0.0
4302,90.297,0,56.6751823425293,0.6363901108895779,0.7712736935999568,29.659587860107422,100.39330291748047,58.09909439086914,8405.9521484375,2.384999990463257,0.0,1.0,5,32007,-3.238354206085205,-0.3866160809993744,56.581268310546875,-0.049640752375125885,0.01631145179271698,0.06460575014352798,0.022642260417342186,1,4327.682961756771,0.0,0.008877802176357363,1.0,-1.0,0.13512584567070007,0.30170682072639465,-0.008768930099904537,2818,0.0
4303,90.339,0,56.783451080322266,0.6385935937175762,0.7538784352105996,29.659452438354492,100.26692199707031,60.365169525146484,8423.5888671875,-9.270000457763672,0.0,1.0,5,32011,-3.0605275630950928,-0.4499850571155548,56.699127197265625,-0.04724373668432236,0.017375750467181206,0.0661616325378418,0.011890782974660397,1,4330.063694664452,0.0,-0.034311965571760084,1.0,-1.0,-0.3239232301712036,0.6041924953460693,-0.10601267218589783,2819,0.0
4304,90.378,0,56.88249588012695,0.6413270149546273,0.7254065590555816,29.65932846069336,100.14834594726562,62.63527297973633,8436.6611328125,-6.210000038146973,0.0,1.0,5,32015,-2.866204261779785,-0.4672674834728241,56.808319091796875,-0.044032420963048935,0.015571960248053074,0.09302439540624619,-0.019821707159280777,1,4332.284819613356,0.0,-0.02293893275600567,1.0,-1.0,0.08529774099588394,0.26037219166755676,-0.5808797478675842,2821,0.0
4305,90.417,0,56.988826751708984,0.6448636177229389,0.6843850895105369,29.659202575683594,100.03711700439453,64.90992736816406,8433.8857421875,4.09499979019165,0.0,1.0,5,32019,-2.7154300212860107,-0.45067068934440613,56.92231369018555,-0.040603283792734146,0.014279465191066265,0.06590943038463593,-0.02120034769177437,1,4334.505944562261,0.0,0.015248276760758017,1.0,-1.0,0.2864040434360504,0.4084913730621338,-0.31913718581199646,2822,0.0
4306,90.459,0,57.09892272949219,0.6491736876307044,0.6307191694984573,29.659069061279297,99.93043518066406,67.19974517822266,8452.056640625,3.5999999046325684,0.0,1.0,5,32023,-2.599412441253662,-0.44713154435157776,57.03797149658203,-0.039110708981752396,0.014972850680351257,0.012730755843222141,0.01780163124203682,1,4336.902123401436,0.0,0.013411351364993607,1.0,-1.0,-0.013776939362287521,0.8593055009841919,-0.8362621068954468,2824,0.0
4307,90.498,0,57.1977653503418,0.65392191843291,0.5673519860858971,29.65894317626953,99.82831573486328,69.48339080810547,8473.8349609375,-1.4399999380111694,0.0,1.0,5,32027,-2.5037925243377686,-0.4681049585342407,57.141021728515625,-0.039095181971788406,0.014526278711855412,-0.000648588698823005,0.015693536028265953,1,4339.134232123848,0.0,-0.00523366138622805,1.0,-1.0,-0.1398375928401947,0.9381216764450073,-0.48954251408576965,2825,0.0
4308,90.537,0,57.300376892089844,0.6591622812536174,0.49637093146916106,29.658817291259766,99.72916412353516,71.77275848388672,8485.0400390625,11.519999504089355,0.0,1.0,5,32031,-2.477062702178955,-0.5013361573219299,57.24461364746094,-0.03949381411075592,0.013021509163081646,-0.03308720514178276,0.02019014209508896,1,4341.367027332104,0.0,0.04255686223223165,1.0,-1.0,0.3584288954734802,0.7849346995353699,-0.6244032979011536,2827,0.0
4309,90.579,0,57.36868667602539,0.664147390279489,0.42317248728235424,29.658729553222656,99.62923431396484,74.07003021240234,8373.673828125,2.879999876022339,0.0,0.0,1,32035,-2.4945740699768066,-0.5228176116943359,57.31203842163086,-0.041982319205999374,0.013867121189832687,-0.06668251752853394,0.004924520384520292,1,4343.773846701864,0.0,0.010673156824850594,1.0,-1.0,-0.23912778496742249,0.1667729914188385,-0.7523443698883057,2828,0.0
4310,90.618,0,57.31107711791992,0.6677481045657584,0.34870782149428403,29.658729553222656,99.52996063232422,76.36138153076172,8108.12353515625,-10.710000038146973,0.0,0.0,1,32039,-2.447478771209717,-0.48356184363365173,57.256752014160156,-0.043904755264520645,0.012369386851787567,-0.013486132957041264,-0.005129476543515921,1,4346.0104175822635,0.0,-0.039630108627534355,1.0,-1.0,-0.3772744834423065,0.18065764009952545,-0.7190122008323669,2830,0.0
4311,90.657,0,57.253456115722656,0.6714479754547164,0.27235906776417834,29.658729553222656,99.43264770507812,78.65049743652344,7853.81298828125,6.614999771118164,0.0,0.0,1,32043,-2.455003499984741,-0.384485125541687,57.19950485229492,-0.043473388999700546,0.008931834250688553,0.0005132961669005454,-0.016790682449936867,1,4348.240466847143,0.0,0.024552396384024178,1.0,-1.0,0.4813687801361084,0.748428463935852,-0.9910401105880737,2831,0.0
4312,90.699,0,57.25582504272461,0.6756993571607904,0.19859190472620278,29.658729553222656,99.33173370361328,80.95606231689453,7157.58203125,14.039999008178711,0.0,0.0,6,32047,-2.564147472381592,-0.2614854574203491,57.19778060913086,-0.04480253905057907,0.011828375980257988,-0.06713788211345673,-0.03141099587082863,1,4350.646599731059,0.0,0.05207409046306566,1.0,-1.0,0.2064126878976822,0.9777817726135254,-0.3105267882347107,2833,0.0
4313,90.738,0,57.1727180480957,0.67863198897718,0.13014297472631978,29.658729553222656,99.22724914550781,83.24217224121094,7144.57080078125,-1.4399999380111694,0.0,0.0,6,32051,-2.636652946472168,-0.21723194420337677,57.11147689819336,-0.04806904122233391,0.015295196324586868,-0.07350499927997589,0.0222602728754282,1,4352.87527602425,0.0,-0.005356333333111252,1.0,-1.0,-0.43072816729545593,0.9814831018447876,-0.6175187826156616,2834,0.0
4314,90.78,0,57.15077209472656,0.6821521340517552,0.06399093049699922,29.65866470336914,99.12068176269531,85.52536010742188,7284.1982421875,1.7549998760223389,0.0,1.0,6,32055,-2.7028441429138184,-0.28236111998558044,57.08612823486328,-0.05046921968460083,0.013177821412682533,-0.050133269280195236,0.030381521210074425,1,4355.2735143209575,0.0,0.006444010768973385,1.0,-1.0,0.08850257843732834,0.7864051461219788,-0.4522256553173065,2836,0.0
4315,90.819,0,57.23942947387695,0.6868565712383924,-0.0002897032392432852,29.65855598449707,99.01038360595703,87.82669067382812,7309.7099609375,0.13499999046325684,0.0009133483981713653,1.0,6,32059,-2.7729878425598145,-0.3913438618183136,57.17088317871094,-0.05227096378803253,0.011519461870193481,-0.040773581713438034,-0.0033773169852793217,1,4357.503906828759,0.0,0.00044914556383446325,1.0,-0.8917209655046463,-0.044961486011743546,0.8249271512031555,0.2255813330411911,2837,0.0
4316,90.858,0,57.338993072509766,0.6844657944402585,-0.062821515287226,29.658447265625,98.8979263305664,90.11890411376953,7306.22900390625,-1.2149999141693115,0.0,1.0,6,32063,-2.8394551277160645,-0.4697763919830322,57.26671600341797,-0.053537774831056595,0.011479346081614494,-0.02473555877804756,-0.0222616009414196,1,4359.737388522859,0.0,-0.004495418279475416,1.0,-1.0,-0.037084225565195084,0.9086482524871826,-0.5699188113212585,2839,0.0
4317,90.9,0,57.445186614990234,0.682217004839207,-0.12403536241305488,29.6583309173584,98.78321838378906,92.41160583496094,7301.1884765625,-6.300000190734863,0.0,1.0,6,32067,-2.8839633464813232,-0.4499264359474182,57.3709831237793,-0.05395122244954109,0.011916670016944408,0.009845245629549026,-0.0612572580575943,1,4362.1483268076845,0.0,-0.02322196273416921,1.0,-1.0,-0.14044907689094543,0.7469512224197388,-0.9026148915290833,2840,0.0
